name,age,overall,potential,position,pace,shooting,passing,dribbling,defending,physical,total_stats,value
S. Longstaff,23,72,79,3,57,65,70,69,64,64,1861,4.7
M. Djenepo,23,74,80,4,82,68,66,80,36,65,1871,6.5
D. Sterling,21,67,76,2,75,48,56,64,64,68,1665,2.2
F. Coman,23,72,78,4,84,70,68,73,37,67,1867,3.7
M. Pongračić,23,75,81,2,73,26,51,63,74,77,1597,8.0
Abel Ruiz,21,73,82,4,74,74,60,73,38,67,1773,7.0
R. Hack,22,71,80,3,83,67,63,76,33,51,1714,4.2
M. Pessina,24,78,84,4,70,70,74,78,67,72,1988,22.0
T. Koopmeiners,23,79,84,3,65,72,79,75,76,77,2155,26.5
G. Busio,19,69,83,4,64,62,66,73,59,65,1897,3.3
L. Cacace,20,72,83,2,82,62,65,69,66,77,1952,4.9
F. Hornby,21,64,72,4,61,64,50,58,24,72,1508,1.3
Jesús Navas,35,84,84,2,87,69,82,83,79,58,2178,13.0
Piqué,34,84,84,2,57,61,71,68,84,78,1969,13.5
H. Herrera,31,81,81,3,67,75,76,76,76,83,2133,21.0
Welington Dano,21,81,81,2,79,54,76,79,75,74,2068,27.5
M. Almirón,27,76,77,3,86,71,73,79,53,63,1979,8.5
J. Lucumí,23,74,82,2,68,28,59,63,73,80,1659,8.5
N. Dorsch,23,75,80,3,68,65,71,76,71,73,1992,8.0
R. Perraud,23,77,83,2,74,72,75,74,72,73,2092,15.5
R. Orsolini,24,76,82,4,80,70,74,81,39,65,1921,12.0
Diogo Leite,22,73,81,2,60,38,46,57,75,72,1582,6.5
O. Richards,23,74,82,2,81,46,60,73,69,63,1788,9.0
Dani Cárdenas,24,74,82,1,76,68,74,81,44,67,1132,8.0
F. Bustos,25,77,80,3,85,64,74,77,70,80,2047,13.0
M. Wilks,22,69,77,3,83,66,57,71,22,71,1666,3.1
P. Cutrone,23,73,78,4,72,71,55,71,29,69,1718,4.7
D. Kemp,22,63,69,4,80,58,61,66,27,36,1569,0.775
K. Jameson,22,59,65,2,54,28,40,44,59,66,1363,0.325
R. Brewster,21,69,80,4,79,71,55,71,20,61,1665,3.2
J. Arp,21,66,76,4,68,65,49,69,22,57,1539,1.9
M. O'Riley,20,67,75,3,64,59,65,66,60,65,1776,2.2
Junior Firpo,24,77,80,2,78,62,70,71,72,76,1961,13.5
P. Rajković,25,78,83,1,77,76,74,81,25,79,1060,16.5
P. Schuurs,21,74,83,2,67,64,70,66,75,73,1925,9.0
E. Watt,21,63,72,3,67,51,62,62,57,66,1734,1.0
Luis Milla,26,78,81,3,72,70,76,74,74,75,2086,16.5
Ferro,24,74,80,2,52,43,54,59,76,74,1647,6.0
L. Romo,26,77,82,3,72,68,72,70,73,85,2041,14.0
Chiquinho,25,74,77,4,71,70,75,78,54,51,1908,5.5
N. Aguerd,25,77,80,2,71,47,62,64,78,77,1852,12.5
S. Diop,21,77,84,4,74,71,74,82,54,54,1960,21.5
J. Teze,21,74,81,2,82,48,63,67,74,77,1843,8.0
F. Krüger,22,72,81,4,86,71,55,72,22,70,1684,5.5
D. Alemdar,18,67,82,1,66,65,65,69,38,66,1009,2.1
M. Mudryk,20,68,79,3,85,55,63,74,44,57,1718,2.6
Y. Verschaeren,19,73,83,4,71,67,72,77,44,47,1833,6.5
Í. Jóhannesson,18,67,82,4,71,59,68,69,41,62,1762,2.4
J. Piroe,21,70,78,4,66,72,54,67,28,69,1669,3.6
J. Branthwaite,19,66,82,2,63,29,45,47,66,64,1417,2.1
Song Min Kyu,21,70,81,4,83,66,59,71,28,72,1754,3.6
Gustavo Assunção,21,72,84,3,66,58,64,74,69,70,1886,5.5
J. Zirkzee,20,69,80,4,69,69,53,70,18,67,1610,3.1
B. Johnson,20,70,82,3,87,59,62,72,40,57,1698,3.8
Beto,23,74,81,4,71,74,54,68,24,78,1678,8.5
Daniel Bragança,22,75,84,4,80,66,75,80,64,52,2010,12.5
G. Simeone,18,65,81,4,74,66,49,64,25,68,1618,1.8
C. Campbell,18,58,78,3,73,53,55,64,41,50,1579,0.55
A. Mighten,19,67,81,3,85,55,56,73,27,46,1530,2.4
J. Stansfield,18,62,81,4,75,62,47,62,25,55,1488,1.0
T. Dolan,19,69,82,3,82,59,63,73,41,48,1692,3.3
T. Pembélé,18,70,81,2,85,49,63,70,64,61,1767,3.2
A. Theate,21,71,82,2,73,40,52,53,71,78,1605,3.9
G. Koutsias,17,63,81,4,72,63,42,60,22,64,1505,1.2
V. Kristiansen,18,65,80,2,76,39,57,64,58,67,1633,1.6
S. Coulibaly,17,61,81,2,62,36,48,57,59,61,1458,0.85
M. Ljubičić,19,67,83,4,76,69,51,60,24,66,1584,2.7
A. Camara,20,65,80,3,82,58,60,72,43,51,1649,1.7
L. Abada,19,72,80,4,83,69,63,75,36,57,1780,5.0
G. Buffon,43,80,80,1,76,73,70,76,34,90,1270,2.3
G. Chiellini,36,86,86,2,68,46,60,59,89,85,1850,12.0
Nani,34,79,79,4,70,76,80,83,37,66,1960,8.0
Raúl García,34,80,80,3,41,82,81,78,65,83,2165,10.5
D. Wass,32,80,80,3,74,78,80,77,76,76,2189,16.5
S. Kjær,32,84,84,2,68,55,65,61,86,79,1922,27.5
M. Pjanić,31,82,82,3,65,68,83,81,75,66,2144,25.0
A. Lallana,33,75,75,4,67,70,78,79,62,56,1997,3.5
J. Boateng,32,83,83,2,72,50,73,67,84,79,1943,23.5
S. Giovinco,33,76,76,4,71,71,76,83,27,52,1834,4.7
A. Sánchez,32,79,79,4,77,76,78,83,43,67,2057,14.0
José Callejón,34,79,79,3,77,76,76,81,48,59,1981,8.0
L. de Jong,30,79,79,4,50,78,71,70,46,75,1910,17.0
Canales,30,83,83,4,83,80,85,82,67,71,2206,34.5
Alex Sandro,30,82,82,2,79,65,76,78,78,79,2128,26.5
B. Leno,29,82,83,1,84,79,76,84,55,82,1353,23.5
K. Kampl,30,80,80,3,70,67,80,84,62,62,2052,20.0
K. Malcuit,29,74,74,2,75,62,70,74,72,71,1974,3.7
J. Draxler,27,80,80,4,74,76,80,82,58,66,2075,22.5
M. Niang,26,75,78,4,76,78,67,74,31,70,1821,7.5
J. Locadia,27,70,70,4,70,70,65,71,35,73,1815,1.7
Iñigo Martínez,30,81,81,2,71,56,66,64,81,79,1983,21.0
J. Campbell,29,75,75,4,79,74,72,77,41,75,1980,5.5
Juan Bernat,28,82,82,2,82,65,78,82,76,68,2124,27.5
J. Lingard,28,79,79,4,76,79,75,81,58,68,2097,17.5
Y. Poulsen,27,78,79,4,82,71,67,74,56,81,1985,16.5
Fred,28,80,80,3,77,65,76,80,75,71,2157,18.5
De Tomás,26,81,82,4,77,82,71,81,39,72,2023,31.0
K. Hause,25,75,78,2,61,45,60,59,74,79,1730,6.5
M. Sanson,26,76,77,4,72,73,76,76,70,76,2113,9.0
D. Cataldi,26,75,76,4,73,71,76,74,70,70,2058,6.0
N. Maupay,24,77,82,4,77,78,67,73,41,72,1938,16.0
P. Sisto,26,71,72,4,71,69,69,76,51,63,1923,2.2
J. Souttar,24,69,73,2,66,44,57,61,67,74,1684,1.8
J. Tah,25,79,82,2,67,29,55,59,80,81,1633,20.5
W. Benítez,28,80,82,1,80,79,72,83,48,80,1281,18.0
K. Baldé,26,76,79,3,91,74,71,79,30,69,1910,10.0
L. Ajorque,27,79,80,4,75,79,60,70,43,84,1876,20.5
M. Dúbravka,32,80,80,1,79,78,80,80,46,78,1324,10.5
P. Roberts,24,71,76,4,76,64,68,79,27,39,1663,2.8
M. Pašalić,26,79,81,4,68,76,76,78,67,76,2079,21.5
P. Bernardoni,24,77,82,1,78,74,74,82,29,77,1155,13.0
J. Larsson,24,74,80,4,84,74,73,77,29,69,1932,6.5
A. Buksa,24,74,76,4,69,73,57,68,31,77,1742,5.5
E. Bailly,27,79,80,2,73,42,58,67,79,77,1830,17.5
A. Golovin,25,79,83,4,81,72,80,83,60,69,2125,24.5
D. Verde,25,74,77,4,84,73,67,79,36,47,1862,5.5
T. Kehrer,24,77,81,2,76,44,65,66,77,78,1868,13.5
A. Fulgini,24,78,82,4,75,71,75,81,68,73,2043,20.0
F. Guilbert,26,76,79,2,74,48,67,68,74,78,1908,9.0
R. Bentancur,24,78,83,3,73,62,78,79,76,77,2097,21.0
K. Walker-Peters,24,77,82,2,76,38,68,75,73,68,1819,15.0
H. Choudhury,23,73,76,2,64,45,62,66,74,74,1823,3.8
R. Krunić,27,75,75,3,67,72,74,75,68,70,2036,6.0
Fran Villalba,23,72,76,4,71,65,71,74,48,45,1801,3.4
Pablo Felipe,17,61,81,4,68,64,44,57,24,52,1455,0.9
N. Tella,21,66,78,3,87,57,56,69,31,54,1599,2.1
M. Friedl,23,73,78,2,70,41,58,65,74,75,1762,4.2
H. Abe,22,66,77,3,89,61,55,69,33,59,1651,1.9
K. Danso,22,74,80,2,80,32,49,57,73,77,1646,6.0
N. Bustos,22,73,81,4,80,73,66,76,33,69,1888,7.0
A. Haidara,23,78,83,3,70,72,76,80,68,70,2056,21.0
J. Clauss,28,78,78,2,85,66,75,77,68,71,2068,12.5
Jeong Woo Yeong,21,70,77,4,80,60,62,76,35,57,1678,3.3
S. Kalajdžić,23,77,82,4,61,73,66,73,45,69,1792,16.0
M. Nzola,24,73,75,4,86,70,59,68,29,75,1767,4.0
C. Kelleher,22,67,77,1,67,63,67,70,40,64,1042,2.0
Gorosabel,24,77,82,2,75,46,70,72,75,70,1892,15.0
A. Obispo,22,72,80,2,75,42,57,63,71,78,1753,4.9
E. Salcedo,19,70,82,4,78,63,61,77,39,52,1737,3.8
J. Lahne,19,61,74,4,92,61,52,64,36,63,1714,0.775
P. Gueye,22,76,83,3,73,46,65,70,72,79,1850,14.5
D. Rossi,23,75,81,4,82,73,67,77,29,59,1817,9.0
J. Sands,20,69,78,3,51,50,59,64,70,72,1672,2.9
F. Vera,21,69,83,3,66,57,69,69,62,64,1796,3.4
L. Ferguson,21,69,79,3,73,69,67,68,66,81,2023,3.1
S. Bornauw,22,76,82,2,72,45,59,65,78,76,1776,11.0
T. John-Jules,20,63,76,4,77,61,51,63,21,58,1501,1.2
A. Appiah,20,65,80,4,91,60,53,71,28,45,1572,1.7
A. Gordon,20,69,83,3,80,62,62,71,34,56,1677,3.4
L. Openda,21,73,82,4,93,71,63,72,26,75,1812,7.0
Kangin Lee,20,74,82,4,72,75,75,79,30,54,1870,9.5
L. Jephcott,21,65,76,4,77,65,54,65,29,69,1687,1.6
M. Shaparenko,22,76,84,4,77,71,76,78,64,63,2005,17.0
K. Dembélé,18,64,80,4,85,59,58,69,16,38,1526,1.5
M. Camara,21,74,83,3,81,57,66,76,70,75,1970,9.0
K. Koné,20,71,82,4,71,60,68,76,63,70,1889,4.1
I. Van der Brempt,19,67,81,3,79,55,63,68,58,71,1732,2.4
I. Jakobs,21,71,80,3,86,58,58,73,61,69,1772,4.2
T. Harwood-Bellis,19,68,82,2,66,36,55,58,69,70,1634,2.7
Adrián Bernabé,20,61,76,4,72,55,59,68,43,49,1607,0.8
L. Fernández,22,74,82,4,74,72,73,75,46,63,1896,9.5
M. Azeez,18,63,82,4,71,55,66,65,45,56,1684,1.2
M. Mohamed,23,74,81,4,70,75,57,69,38,79,1816,8.5
M. Juwara,19,67,82,4,84,65,57,73,30,51,1630,2.4
T. Moffi,22,74,82,4,75,74,53,70,24,75,1693,9.5
Francho Serrano,19,67,82,4,63,58,68,69,55,61,1759,2.4
P. Nebel,18,64,80,4,76,57,59,71,27,48,1555,1.5
W. Bondo,17,62,80,4,75,55,56,71,58,63,1745,1.0
S. Sow,18,70,81,2,63,41,54,60,70,67,1608,3.1
C. Clark,18,66,83,4,75,59,64,67,43,55,1695,2.2
M. Vitík,18,69,81,2,63,34,52,56,70,68,1548,3.0
V. Edvardsen,25,68,71,4,72,69,58,66,32,75,1713,1.6
R. Drăgușin,19,67,82,2,69,30,45,53,67,71,1543,2.3
M. Kjaergaard,18,64,82,4,71,58,62,65,58,68,1746,1.5
A. Baldé,18,63,81,3,92,55,52,68,28,52,1551,1.2
M. Aydin,19,65,79,3,77,57,61,68,55,59,1764,1.6
L. Mbete,17,62,82,2,65,32,47,57,61,66,1490,1.0
M. Sankoh,17,62,81,4,75,62,48,62,22,52,1463,1.0
J. Gómez,19,65,79,4,80,64,51,70,38,64,1657,1.7
M. Kaba,19,59,68,3,55,42,55,58,51,61,1462,0.475
A. Kamara,16,59,82,4,63,46,57,66,54,61,1611,0.7
J. Sarmiento,19,63,77,3,82,58,58,65,29,49,1555,1.1
A. Devine,16,58,83,4,64,49,56,59,51,53,1586,0.65
M. Paskotsi,18,58,78,2,67,36,50,57,58,59,1512,0.525
B. Mendy,26,79,80,2,74,54,76,76,75,76,2003,19.0
J. Pickford,27,83,85,1,83,78,87,86,49,80,1490,33.0
Denis Suárez,27,78,79,4,74,71,81,80,61,56,2009,16.0
J. Willems,27,73,73,2,72,65,73,73,70,72,1995,2.9
M. De Sciglio,28,76,76,2,68,46,70,74,75,69,1892,7.0
Pablo Marí,27,75,76,2,53,40,51,51,75,77,1585,5.5
R. Fraser,27,74,74,4,82,70,70,79,46,55,1927,4.5
Felipe,32,83,83,2,61,42,58,61,83,84,1785,23.5
A. Doucouré,28,79,79,3,72,76,73,77,78,81,2109,17.5
J. Hofmann,28,80,80,3,75,73,80,79,64,67,2058,21.0
I. Amadou,28,75,76,3,64,55,65,71,73,80,1900,5.5
T. Strakosha,26,79,82,1,80,77,74,80,43,77,1209,17.5
P. Max,27,79,79,2,82,67,78,75,72,74,2103,17.0
R. Andrich,26,77,78,3,59,74,76,72,75,83,2110,12.5
Ricardo Horta,26,79,80,4,78,78,75,80,42,69,2018,21.0
T. Lemar,25,83,86,4,82,78,83,86,68,64,2206,47.5
D. Zapata,30,83,83,4,80,81,61,78,35,84,1901,35.5
A. Mitrović,26,76,77,4,63,77,56,70,27,86,1787,9.0
I. Bebou,27,77,77,4,90,75,68,80,34,64,1893,11.5
Rafa,28,82,82,3,94,73,74,86,50,52,1997,30.5
Rúben Semedo,26,77,80,2,69,52,55,66,78,79,1807,12.0
M. Zaccagni,26,77,80,4,78,71,75,80,60,68,1995,14.0
R. Tapia,25,79,83,2,69,69,72,73,79,82,2095,22.0
A. Živković,24,76,78,4,78,73,74,81,56,57,1971,9.5
J. Onguéné,23,71,78,2,70,30,42,58,71,73,1577,3.5
A. Cubas,25,75,79,3,69,52,68,73,74,59,1916,7.0
E. Ünal,24,75,81,4,68,77,64,75,36,77,1889,9.0
V. Muriqi,27,74,75,4,56,73,55,66,28,82,1660,4.9
A. Nübel,24,75,80,1,75,65,71,85,48,76,1195,7.0
David Soria,28,81,82,1,81,80,72,82,43,80,1273,20.5
G. Castrovilli,24,77,81,4,74,65,75,82,66,68,1988,15.0
Rubén Duarte,25,77,80,2,66,36,65,67,77,69,1794,13.0
J. Bruun Larsen,22,73,80,4,85,69,69,72,55,67,1931,6.0
Yeray,26,80,82,2,67,49,63,64,82,76,1907,23.0
S. Berge,23,76,82,3,64,58,72,73,74,84,1958,11.0
Dalbert,27,70,70,3,82,57,66,71,66,68,1873,1.7
Gerson,24,78,82,3,74,64,77,77,76,77,2111,20.0
A. Diawara,23,75,77,3,62,54,70,75,72,71,1879,6.5
Unai Simón,24,82,86,1,82,77,76,84,47,85,1283,34.5
Y. Yazıcı,24,77,81,4,67,77,79,81,47,72,2013,15.5
M. Arambarri,25,80,85,3,65,64,72,73,78,78,2002,28.5
J. Latibeaudiere,21,65,74,2,70,37,51,57,65,69,1577,1.5
J. Sánchez,23,75,80,2,92,45,61,72,71,77,1876,8.0
Dodô,22,75,84,3,88,59,71,77,68,70,2001,12.0
L. Bénes,23,73,77,4,63,70,78,75,47,60,1912,4.3
H. Barnes,23,80,82,4,86,76,75,81,45,64,1969,27.5
Y. Eteki,23,75,83,3,63,55,66,69,70,76,1850,12.0
J. Rasmussen,24,74,81,2,49,37,59,63,74,79,1679,8.0
V. Janelt,23,74,81,3,66,63,67,68,71,76,1901,8.0
C. Früchtl,21,66,76,1,69,65,67,68,24,65,933,1.7
C. Ünder,23,78,80,4,81,78,74,81,38,52,1911,18.0
E. Barco,22,75,80,4,82,70,72,79,28,51,1771,8.5
R. Koch,24,77,84,2,66,38,61,64,78,75,1732,19.5
R. Alvarado,22,75,81,4,75,71,74,76,53,68,1986,9.0
E. Bardhi,25,78,79,4,75,80,78,81,59,56,2093,17.0
F. Quagliarella,38,78,78,4,61,83,74,79,30,63,1896,4.8
V. Behrami,36,71,71,3,54,63,69,68,70,72,1941,0.375
Llorente,36,73,73,4,34,74,61,64,33,69,1571,1.0
B. Foster,38,78,78,1,78,77,73,78,46,78,1260,1.6
G. Higuaín,33,79,79,4,58,81,71,76,29,70,1847,11.0
D. Rose,30,75,75,2,71,58,71,75,74,68,1983,4.8
Juan Mata,33,77,77,4,54,71,80,80,36,42,1856,6.5
P. Diop,35,77,77,3,39,66,67,68,76,86,1987,3.0
M. Hummels,32,85,85,2,56,59,76,72,88,77,2031,35.0
Sergio Asenjo,32,82,82,1,83,81,78,81,57,80,1361,15.0
A. Taarabt,32,77,77,4,68,69,77,84,64,72,2018,8.5
A. Rami,35,72,72,2,46,48,53,58,71,77,1620,0.625
M. Sissoko,31,78,78,3,71,61,73,75,75,87,2053,10.0
J. Henderson,31,84,84,3,66,74,83,79,78,81,2198,29.5
S. Johansen,30,72,72,3,65,67,73,71,68,72,1986,2.2
M. Lanzini,28,76,76,4,71,72,77,80,32,42,1857,7.5
Pedro,33,78,78,4,74,73,77,84,40,52,1931,9.0
S. El Shaarawy,28,79,79,4,87,75,74,79,46,63,1988,17.5
M. ter Stegen,29,89,91,1,87,85,88,90,47,88,1450,85.5
J. Corona,28,81,81,3,83,67,78,85,73,59,2145,26.0
M. Braithwaite,30,77,77,4,80,76,72,79,35,74,1969,10.5
X. Shaqiri,29,78,78,3,70,76,80,80,46,65,2018,14.0
Villalibre,23,73,80,4,74,72,55,68,39,80,1800,6.0
Neto,31,81,81,1,82,78,77,80,54,78,1323,13.5
R. Krishna,33,72,72,3,90,72,66,73,46,79,1991,1.5
O. Özyakup,28,72,72,4,62,68,77,77,57,61,1976,2.3
Rodrigo,30,78,78,4,83,78,76,79,45,70,2044,13.5
Cristian Tello,29,79,79,3,89,75,74,80,48,62,1998,17.0
Paco Alcácer,27,81,81,4,77,84,69,81,35,61,1976,28.0
B. Lecomte,30,79,80,1,79,77,77,80,42,79,1155,13.0
A. Mandi,29,80,80,2,66,46,73,70,81,74,1962,17.5
G. Kondogbia,28,79,79,3,68,74,75,76,79,88,2131,17.5
E. Kachunga,29,67,67,4,76,66,61,67,45,72,1808,1.0
R. Freuler,29,80,80,3,69,71,77,78,75,73,2068,20.5
S. Dallas,30,75,75,3,74,69,70,73,73,75,1998,5.5
M. Smith,32,67,67,4,33,68,49,51,36,79,1531,0.825
N. Pope,29,82,82,1,80,83,74,84,49,82,1271,21.0
K. Zouma,26,81,84,2,65,51,63,57,81,85,1905,30.0
M. Batshuayi,27,77,77,4,76,77,59,76,33,74,1850,11.5
S. Savić,30,84,84,2,64,35,57,58,87,76,1736,34.5
L. Sučić,18,69,83,4,75,65,69,72,50,61,1836,3.2
G. Bayrakdar,19,69,83,3,73,66,62,69,37,58,1690,3.3
Arribas,19,65,81,4,68,53,56,72,33,51,1502,1.8
Nico Serrano,18,65,81,4,73,59,56,72,18,48,1499,1.8
D. Udogie,18,66,81,2,73,50,58,66,61,68,1718,1.9
C. Diakité,18,68,81,4,68,53,64,73,62,55,1757,2.8
Jeong Sang Bin,19,63,81,4,85,60,56,66,24,61,1617,1.3
C. Sandra,17,63,82,4,70,61,61,66,34,60,1658,1.2
A. Omobamidele,19,67,81,2,71,26,46,56,68,68,1455,2.3
W. Swedberg,17,59,78,4,69,58,55,65,47,57,1635,0.55
Javi Serrano,18,64,80,3,71,56,60,64,59,63,1724,1.4
Alan Godoy,18,62,79,4,76,60,48,66,31,49,1526,1.0
Z. Steffen,26,78,83,1,79,74,75,83,53,73,1325,16.0
P. Rosario,24,77,80,3,67,64,69,74,76,79,1975,13.0
C. Acevedo,25,76,82,1,77,72,69,81,47,75,1160,9.5
R. Yates,23,70,78,2,66,58,58,64,67,81,1804,3.3
Santi Comesaña,24,73,79,3,63,67,64,69,72,73,1858,4.4
A. Elis,25,75,78,4,90,71,63,77,31,74,1859,7.5
A. Barkok,23,73,79,4,78,66,69,78,55,65,1887,4.8
G. Gudmundsson,22,74,82,2,87,64,67,73,67,71,1938,9.0
M. Tavernier,22,71,80,3,80,64,66,72,39,57,1741,4.2
D. Mihailovic,22,74,81,3,71,65,76,75,60,69,1944,8.5
N. Domínguez,23,76,84,3,75,66,72,76,71,77,2019,16.5
R. Vargas,22,75,83,3,83,69,67,79,54,65,1944,12.5
N. Cozza,22,74,80,2,77,37,60,68,74,71,1781,6.5
D. Eckert Ayensa,24,69,74,4,79,67,47,70,27,63,1594,2.1
N. Maksimović,26,79,84,3,56,68,75,71,77,78,2030,23.0
S. Sessegnon,21,66,78,2,72,33,53,62,62,59,1548,2.0
D. Frattesi,21,73,82,4,79,69,70,75,65,68,2003,7.0
H. Morita,26,73,76,3,67,60,71,74,69,70,1863,3.6
Stephen Eustáquio,24,76,82,3,66,61,75,72,72,72,1992,11.0
S. van den Berg,19,69,81,2,66,30,57,64,69,72,1628,3.1
N. Ferguson,20,69,77,2,64,36,54,64,68,68,1610,2.9
Alberto Soro,22,71,81,4,78,63,69,71,44,61,1793,4.2
B. Mumba,19,65,78,2,75,45,58,70,62,55,1705,1.6
T. Richards,20,66,78,4,73,62,63,68,51,66,1769,2.1
K. Lewis-Potter,20,69,79,3,82,64,62,70,30,58,1731,3.1
J. Vásquez,22,71,82,2,66,32,57,56,73,72,1634,3.9
Fernando,22,72,82,4,86,71,62,76,37,59,1745,5.5
T. Chorý,26,71,73,4,47,69,57,62,32,82,1619,2.4
Y. Benrahou,22,73,82,4,73,67,73,78,41,54,1853,7.0
L. Barreiro Martins,21,72,80,3,67,56,66,77,69,61,1890,5.0
J. Shackleton,21,70,80,3,80,46,67,73,62,68,1793,3.4
H. Clarke,20,61,77,2,63,48,49,51,60,70,1568,0.8
S. Sosa,22,71,81,3,61,57,61,66,68,75,1787,4.0
H. Massengo,19,68,81,3,71,47,63,71,66,64,1796,2.7
L. Agoumé,19,68,80,3,63,54,63,70,60,68,1763,2.9
L. Traoré,20,72,82,4,77,70,57,69,29,76,1746,5.0
A. Riccardi,20,62,75,4,58,55,59,63,51,52,1623,0.95
J. Hill,19,63,75,2,67,25,43,49,62,69,1435,1.1
A. Zagré,19,63,72,2,81,41,57,66,57,44,1654,1.0
Mateu Morey,21,73,81,2,75,46,67,76,68,62,1811,6.5
S. Weissman,25,77,81,4,77,78,65,71,32,70,1864,15.0
C. Summerville,19,68,80,3,88,61,59,70,24,49,1616,2.9
S. Alexandropoulos,19,69,82,3,76,60,61,67,66,69,1805,3.1
M. Bard,20,74,82,2,78,51,66,73,69,70,1871,9.0
N. Nkounkou,20,64,78,2,82,41,54,62,57,68,1610,1.3
Marcos Paulo,20,70,82,3,71,67,68,68,43,52,1691,3.8
D. Zima,20,74,81,2,74,38,54,63,76,76,1711,7.5
F. Torres,21,73,82,4,81,68,70,74,36,51,1779,7.0
Ö. Beyaz,17,63,81,4,61,53,66,66,47,44,1621,1.2
L. Oyen,18,65,83,3,73,55,62,71,39,44,1641,1.8
C. Puertas,22,71,78,3,77,66,69,71,68,77,1965,3.8
C. Bozdoğan,20,68,77,4,70,64,66,74,51,60,1801,2.6
S. Keogh,19,62,79,2,72,44,53,61,57,58,1572,1.0
K. Ruiz-Atil,18,66,81,4,67,54,64,72,44,41,1650,2.0
L. Pirola,19,64,82,2,64,41,46,52,64,70,1553,1.4
J. Oosterwolde,20,66,79,2,91,37,56,59,60,73,1672,2.0
E. Dinkçi,19,64,81,4,83,66,56,63,28,53,1631,1.5
B. Soppy,19,68,81,2,78,39,60,65,63,71,1742,2.7
H. Çalhanoğlu,27,82,83,4,67,78,84,85,59,57,2084,35.0
B. Cristante,26,79,81,3,55,73,76,75,76,78,2024,19.5
R. Saïss,31,79,79,2,59,56,69,68,79,77,1925,12.0
E. Can,27,82,83,3,78,78,78,80,84,87,2273,35.0
M. de Roon,30,82,82,3,68,68,71,73,82,83,2122,25.5
Rui Silva,27,81,84,1,82,76,75,84,31,83,1214,25.5
D. Rugani,26,77,79,2,59,40,55,63,79,72,1676,11.5
P. Gollini,26,81,85,1,81,80,76,82,47,82,1260,27.5
V. Grifo,28,79,79,3,70,74,80,81,41,62,1974,17.5
Borja López,27,69,72,2,61,47,53,50,70,78,1654,1.6
D. Selke,26,71,73,4,76,70,53,67,40,75,1765,2.4
F. Acheampong,27,76,76,3,94,76,68,81,49,77,2050,8.0
A. Iwobi,25,76,78,4,77,64,72,79,38,67,1812,9.5
J. Gbamin,25,76,76,3,73,57,72,73,76,75,1989,7.5
D. Zappacosta,29,79,79,2,79,66,73,74,75,71,2054,15.5
S. Gigot,27,78,79,2,67,38,65,61,79,79,1801,14.0
H. Traoré,29,79,79,2,85,54,71,75,73,77,2016,15.5
M. Jay,25,65,69,3,82,63,61,68,32,52,1734,1.0
Y. Mina,26,79,81,2,45,54,60,60,81,81,1753,19.0
D. Gray,25,76,79,4,86,75,68,81,37,55,1818,10.0
H. Wilson,24,76,81,4,78,79,75,75,45,56,1962,11.5
R. Borré,25,78,80,4,81,76,72,78,44,76,2057,18.0
H. Lozano,25,81,82,4,93,76,72,82,41,62,2013,31.0
L. Zander,25,69,72,2,78,37,59,63,65,66,1681,1.7
R. Gosens,26,83,83,2,82,75,74,79,77,81,2192,36.0
V. Koziello,25,70,73,4,74,61,70,73,59,51,1917,2.1
J. Carrascal,23,74,81,4,77,69,71,81,44,58,1910,8.5
A. Pearce,24,58,63,1,60,63,60,58,37,50,1047,0.25
Hwang Hee Chan,25,75,78,4,84,76,70,79,28,68,1895,7.5
P. Cissé,25,76,80,2,78,32,46,45,74,85,1624,9.5
E. Audero,24,78,79,1,80,73,73,82,53,76,1187,13.0
J. Reine-Adélaïde,23,75,82,4,76,70,72,80,54,68,1956,11.0
R. Nyambe,23,72,78,2,81,33,58,69,68,76,1725,3.5
L. Martínez Quarta,25,76,82,2,67,56,69,70,75,78,1966,10.5
W. Faríñez,23,73,77,1,74,69,69,76,52,74,1315,3.5
Ronaldo Esler,21,79,79,2,89,58,70,77,74,59,2016,19.0
Ronaldo Cabrais,29,83,83,3,88,77,83,84,35,72,2098,35.5
Luimo Boas Santos,21,79,79,4,83,79,65,81,28,64,1907,21.0
J. Eastwood,24,61,67,1,62,60,59,61,37,59,1036,0.425
D. Lukébakio,23,76,81,4,84,75,69,79,31,61,1848,11.5
I. Diop,24,77,83,2,65,36,52,56,78,79,1677,15.0
J. Harrison,24,77,80,3,81,71,71,78,42,68,1907,14.5
F. Uduokhai,23,77,82,2,67,39,54,60,80,72,1684,14.5
K. Tsimikas,25,76,80,2,83,57,70,72,70,74,1994,9.5
M. Travers,22,70,79,1,70,68,66,69,40,68,1109,3.1
Caio Henrique,23,78,82,2,74,54,75,78,73,62,1982,18.5
K. Itakura,24,74,80,2,77,32,53,65,76,76,1714,6.0
R. Kristensen,23,76,81,2,78,62,69,69,71,81,1978,10.5
Zubeldia,24,79,84,3,68,67,75,73,79,81,2082,24.0
Odriozola,25,78,80,2,82,55,70,75,74,65,1973,16.0
D. Turnbull,21,74,82,4,72,71,76,74,62,67,1989,9.5
L. Abram,25,75,80,2,65,42,58,60,75,78,1742,7.5
J. Eggestein,23,71,77,4,69,70,67,74,37,61,1793,3.0
Florentino,21,74,83,3,62,44,61,68,74,73,1783,9.0
V. Rosier,24,77,82,2,83,52,65,76,73,75,1964,15.0
